Frequency,SEmagS11,SEargS11,SEmagS21,SEargS21,SEmagS22,SEargS22
0.01,-0.07065996958381215,170.72660267437794,0.594722469190506,0.0976165637138218,-0.10752697096872435,167.2455470755729
0.02,0.05533128274120426,60.890149306863904,0.01975399824866175,-1.0315340076951982,-0.028319160458096643,364.39386857177897
0.03,-0.17276802289394,38.09857119371395,0.05003770320430296,-0.8785072472752032,-0.2480066346593053,27.79920121388594
0.04,-0.007048140321802585,47.8056110757715,0.3120165049971024,0.14252880749993976,-0.1114889481766427,359.5499023999988
0.05,-0.059472705166814605,42.42274065388985,0.20204003526178274,-0.4737856082868419,-0.15043007641291728,57.087566488495206
0.06,0.04827375308859083,45.3190188345179,0.23838415616517922,-0.22959378338677097,-0.11362999082997419,48.22269199012603
0.07,0.011625092875965217,29.409054497349437,0.35836882215043026,-0.10114895338012755,-0.09764655745655976,22.77086240688733
0.08,0.06559882506532809,22.55070843690853,0.3149160856017945,0.2671227046911721,-0.007199889474835623,10.38810775933968
0.09,0.004098532313740546,28.968153196767595,0.3202610991840731,-0.027319576294694014,-0.05737945239236253,31.65210289396257
0.1,0.03593111687414039,43.060138962787946,0.267045872331934,-0.04488466963587799,-0.04094510416452777,48.787548088984025
0.15,0.28695448125017264,111.48584934797162,0.07537324994923573,-0.013785967619059652,-0.007947051346866227,16.06388033815838
0.2,0.34868277027535405,52.62834452468675,0.14611521930387397,-0.22757294953786558,0.1729845835071821,4.118930368337828
0.25,0.236959526805175,-0.04404699000503905,0.6488781057252149,-0.557233296755536,0.1671586237054069,13.324179232401592
0.3,0.40017924950680445,30.041856543162165,0.45280923368091464,-0.0946422625362779,0.1278363544115036,-18.61083894724838
0.35,0.28875073687313774,-3.814227173543174,-0.2081534006810053,0.1603462838053915,0.184438131549802,-11.382560643739003
0.4,0.32724913932219646,32.298872838009125,0.6167054886116385,0.35300817455594646,0.21037076853092596,-101.74854747536425
0.45,0.39465043144349227,-7.464643225766202,-0.013395559311805959,-0.6511751184438859,0.2343505166047217,-4.353442787006316
0.5,0.41782346892224,14.70746418881293,0.24305339564368633,-0.1155527250891612,0.24035060516342244,-43.34571609660376
0.55,0.29145913311999555,-12.811996353783655,0.37952570057018375,0.3902530588877927,0.2491452637173979,-14.104802919669115
0.6,0.355654078563748,45.074902612365406,0.2873731302915276,0.48813510868276155,0.45540066292299497,-62.822228162955135
0.65,0.3868935719519185,-22.507432558947453,0.19712181526865252,-0.36899529754274174,0.22968538476686998,-20.31549733806156
0.7,0.09038602830640173,34.02379223642704,0.5168951326523372,-0.31748194229748733,0.3549673108602538,-111.52039455902953
0.75,0.403901594597083,-16.502442001685086,0.39384927265867753,0.8497911203246944,0.16477340774700605,-53.541445250559875
0.8,0.3408061207648457,11.882165555324054,0.029100475260064786,0.10763269000591297,0.22312524028577602,-26.132862586612294
0.85,0.31432347582003867,-87.21006201853712,0.06894548131750305,-0.39994075898022297,0.2399962092945196,-10.267211178306242
0.9,0.43937142912105187,9.564205731976585,0.32285467310441346,-0.7735537592637289,0.1110212635896679,-42.82532235035845
0.95,0.3451559044261239,-19.37828028329466,0.8808753406127883,0.5657622238919899,0.16455069714732007,-8.19696004104716
1.0,0.28858449963456306,2.0952626821687157,0.4585148201596384,-0.261587893627104,0.22278189881502497,-32.8317897555417
